seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance
101,-5.876819111235201,50,False,False,0.0,,0.05399266065849091,0.23095827878974598
102,-14.822783425705117,50,False,False,0.0,,0.10664572107253911,0.3154412248204864
103,-6.270923166232794,50,False,False,0.0,,0.07783800620202905,0.13392955135032267
104,-4.927047118009796,50,True,False,0.1,14.0,0.040108413515355754,0.17428195979305489
105,-16.273742847452713,50,False,False,0.0,,0.1551857745729982,0.4575579902988236
106,-9.113999039042744,50,False,False,0.0,,0.09209414297708333,0.18591289746085396
107,-8.2728682894017,50,True,False,0.04,1.0,0.03594103334949775,0.195099021555206
108,-12.009860302836639,50,False,False,0.0,,0.12876271809811873,0.37514445509780525
109,-11.389330930342666,50,False,False,0.0,,0.08711655814698904,0.31587358712969194
110,-13.132644902378859,50,False,False,0.0,,0.11502148398710788,0.3041127223705631
