seed,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_distance,final_distance
1001,-0.5437365842938304,50,True,True,0.94,4.0,0.0050596573033757555,0.005059985385075285
1002,-0.46332588719875517,50,True,True,0.98,2.0,0.007916962540011079,0.007918803816857592
1003,-0.47552017297992016,50,True,True,0.98,2.0,0.0070118298714905575,0.007013542344079549
1004,-0.60837760768584,50,True,True,0.94,4.0,0.005333085207736131,0.005334947886639392
1005,-0.644510625354422,50,True,True,0.96,3.0,0.0035888692818515514,0.007978639319311278
1006,-0.38868578885766586,50,True,True,1.0,1.0,0.0070733309640894785,0.007074649677027049
1007,-0.6119183574139582,50,True,True,0.96,3.0,0.008101171672376522,0.008103085894472093
1008,-0.5249695636878473,50,True,True,0.96,3.0,0.0059169465590777435,0.0075653744007054095
1009,-1.2166043357092386,50,True,True,0.94,4.0,0.018705748856556452,0.018720233415933103
1010,-0.6460395983080581,50,True,True,0.96,3.0,0.00729923443983771,0.007311210746658803
