#{"t_start": 1789174276.729187, "env_id": "FetchReachDense-v4"}
r,l,t,is_success
-0.848828,50,28.426507,1.0
-0.917,50,28.586766,1.0
-0.994666,50,28.753549,1.0
-0.844998,50,28.915029,1.0
-1.044223,50,29.09226,1.0
-0.995225,50,29.268121,1.0
-1.085016,50,29.43905,1.0
-1.101795,50,29.612852,1.0
-0.534779,50,29.778578,1.0
-1.454073,50,29.96869,1.0
-1.091688,50,30.160042,1.0
-1.244489,50,30.339492,1.0
-0.957549,50,30.516639,1.0
-1.169498,50,30.702154,1.0
-1.396862,50,30.863511,1.0
-1.205914,50,31.296289,1.0
-1.163453,50,31.461177,1.0
-1.034773,50,31.64124,1.0
-0.759198,50,31.814958,1.0
-1.297834,50,31.986872,1.0
-0.847801,50,32.159919,1.0
-1.369052,50,32.338749,1.0
-0.96538,50,32.506078,1.0
-1.041978,50,32.670048,1.0
-0.945205,50,32.836628,1.0
-1.680755,50,33.019025,1.0
-1.275151,50,33.198598,1.0
-0.800484,50,33.364142,1.0
-1.048684,50,33.526983,1.0
-0.99768,50,33.699535,1.0
-1.003658,50,33.867936,1.0
-1.026449,50,34.032817,1.0
-0.876045,50,34.194698,1.0
-1.167082,50,34.360624,1.0
-0.674597,50,34.525946,1.0
-1.299814,50,34.690136,1.0
-0.993524,50,34.858526,1.0
-1.206083,50,35.020028,1.0
-0.972886,50,35.183249,1.0
-1.395569,50,35.344336,1.0
-0.987075,50,35.506934,1.0
-1.338114,50,35.676759,1.0
-1.18955,50,35.841853,1.0
-0.751282,50,36.003413,1.0
-1.074551,50,36.164979,1.0
-1.049428,50,36.326912,1.0
-0.981975,50,36.489398,1.0
-0.720074,50,36.649171,1.0
-1.147051,50,36.811617,1.0
-1.419621,50,36.976309,1.0
-0.993084,50,37.141987,1.0
-0.986162,50,37.30862,1.0
-0.915543,50,37.47212,1.0
-0.891851,50,37.637056,1.0
-1.199356,50,37.809764,1.0
-1.462137,50,37.984425,1.0
-1.877191,50,38.159803,1.0
-1.040005,50,38.326048,1.0
-1.336017,50,38.495977,1.0
-1.365808,50,38.668658,1.0
-0.979681,50,38.836278,1.0
-1.948766,50,39.007353,1.0
-2.328323,50,39.179731,1.0
-0.849786,50,39.340477,1.0
-1.286573,50,39.50402,1.0
-0.801431,50,39.670094,1.0
-0.825363,50,39.834015,1.0
-1.549738,50,40.007569,1.0
-0.931734,50,40.177691,1.0
-1.255612,50,40.362201,1.0
-1.910272,50,40.547288,1.0
-1.026797,50,40.714746,1.0
-1.008373,50,40.881354,1.0
-1.273086,50,41.053128,1.0
-1.391444,50,41.224531,1.0
-1.015097,50,41.390521,1.0
-1.152378,50,41.556267,1.0
-0.832243,50,41.728902,1.0
-0.796623,50,41.905339,1.0
-1.62407,50,42.085578,1.0
-1.008855,50,42.258267,1.0
-0.733433,50,42.42389,1.0
-0.927552,50,42.591786,1.0
-1.312014,50,42.773678,1.0
-1.144996,50,42.947204,1.0
-1.309825,50,43.139661,1.0
-0.95118,50,43.323855,1.0
-1.004723,50,43.500626,1.0
-1.142124,50,43.677527,1.0
-0.889351,50,43.858916,1.0
-1.103673,50,44.040845,1.0
-0.925163,50,44.21581,1.0
-0.598301,50,44.381219,1.0
-0.63388,50,44.554478,1.0
-0.933274,50,44.726727,1.0
-0.998177,50,44.89771,1.0
-1.128136,50,45.084992,1.0
-0.847763,50,45.264188,1.0
-1.18922,50,45.44385,1.0
-0.999359,50,45.618787,1.0
-0.834583,50,45.798278,1.0
-0.97084,50,45.973228,1.0
-0.980197,50,46.153525,1.0
-0.964017,50,46.332331,1.0
-0.926416,50,46.506853,1.0
-1.248163,50,46.680864,1.0
-1.070088,50,46.850054,1.0
-0.855039,50,47.021656,1.0
-0.753982,50,47.189016,1.0
-1.055106,50,47.353762,1.0
-0.879169,50,47.522553,1.0
-0.70888,50,47.699899,1.0
-1.097468,50,47.889033,1.0
-1.071297,50,48.066354,1.0
-1.058997,50,48.246393,1.0
