seed,episode_return,episode_length,success,success_any,max_door_hinge,min_palm_handle_distance
1001,-46.29139288052395,200,False,False,0.011967448156849452,0.08202523888865403
1002,-45.87214802447936,200,False,False,0.0119674481647712,0.09504052055634032
1003,-47.112571402250495,200,False,False,0.012059995496339473,0.07182768308229066
1004,-46.64235416729511,200,False,False,0.011967448164693952,0.06346568055911687
1005,-44.88705019975594,200,False,False,0.01196744816478425,0.08184038217853727
1006,-45.68910510004916,200,False,False,0.011967448164769563,0.08304264321713908
1007,-44.662603782851576,200,False,False,0.013708811107664427,0.03914982126822452
1008,-45.28834134361963,200,False,False,0.012232506329393539,0.11462012840199953
1009,-44.968851859679475,200,False,False,0.015260887785488522,0.019398763912144564
1010,-46.96261123991124,200,False,False,0.01254491785735175,0.03713246276510139
