#{"t_start": 1789168584.9362738, "env_id": "AdroitHandDoor-v1"}
r,l,t
-36.225246,200,219.041932
-35.579469,200,220.13432
-33.990598,200,221.23752
-33.70125,200,222.326557
-31.536249,200,223.461413
-32.139052,200,224.562708
-32.20815,200,225.648456
-30.349552,200,226.765772
-35.061024,200,228.28759
-31.047959,200,229.365998
-33.803883,200,230.454698
-32.739232,200,231.539869
-34.866476,200,232.634163
-35.356809,200,233.802237
-33.35238,200,234.974313
-33.234177,200,236.053856
-32.789301,200,237.170696
-31.811212,200,238.259505
-31.839536,200,239.386041
-33.531038,200,240.502143
-33.692901,200,241.591841
-33.952035,200,242.678519
-33.34589,200,243.771838
-35.125177,200,244.85648
-39.893451,200,245.962773
-40.527158,200,247.063692
-33.671453,200,248.155255
-30.709129,200,249.236566
-31.785134,200,250.32998
-36.344057,200,251.417054
-37.36047,200,252.508309
-38.936826,200,253.587291
-36.655421,200,254.709032
-32.167319,200,255.796569
-33.208945,200,256.879378
-38.580073,200,257.992669
-35.12231,200,259.090124
-31.237947,200,260.1804
-37.457138,200,261.307277
-38.72111,200,262.397526
-37.709156,200,263.492571
-40.064576,200,264.585024
-39.371657,200,265.668642
-39.79679,200,266.760369
-40.705114,200,267.846202
-40.378881,200,268.928922
-41.621538,200,270.018009
-40.921336,200,271.098087
-41.404867,200,272.180251
-41.733742,200,273.271442
-41.811813,200,274.362013
-41.771152,200,275.455429
-37.96288,200,276.539113
-38.337111,200,277.645207
-37.207254,200,278.753796
-34.905004,200,279.855036
-33.550837,200,280.941828
-37.137943,200,282.024704
-40.253233,200,283.110278
-39.534222,200,284.232071
-46.811832,200,285.366603
-42.633747,200,286.463859
-43.458706,200,287.558826
-41.874335,200,288.73567
-43.019043,200,289.831828
-43.479794,200,290.933573
-43.36659,200,292.028906
-43.057281,200,293.176482
-44.946028,200,294.338537
-41.113622,200,295.451354
-44.480376,200,296.553779
-44.007708,200,297.659026
-45.270643,200,298.760395
-39.774651,200,299.863593
-42.694053,200,300.970285
-39.7354,200,302.065019
-44.119393,200,303.151157
-44.184862,200,304.237532
-43.17949,200,305.32623
-33.389514,200,306.405099
-42.966022,200,307.485472
-35.784186,200,308.585449
-33.972951,200,309.675512
-39.358246,200,310.854606
-35.279826,200,311.961793
-33.678942,200,313.052447
-43.959718,200,314.147788
-44.076262,200,315.243214
-45.252766,200,316.330153
-45.302664,200,317.420412
-44.179723,200,318.516449
-42.638068,200,319.609091
-45.181119,200,320.703804
-45.492838,200,321.79205
-43.131752,200,322.881241
-42.481018,200,323.970893
-44.940502,200,325.066004
-43.265722,200,326.16402
-42.995169,200,327.25372
-47.345424,200,328.421832
-42.592562,200,329.512597
-41.450918,200,330.602696
-45.717146,200,331.739451
-34.694049,200,332.829159
-44.901087,200,333.945739
-42.723626,200,335.031995
-41.582109,200,336.118324
-38.42659,200,337.201292
228.451504,200,338.42906
296.157228,200,339.518975
-46.775718,200,340.671173
-44.713348,200,341.81763
307.674532,200,342.906048
-38.962759,200,344.002975
-42.460088,200,345.099018
-6.319893,200,346.253974
-39.153409,200,347.352495
-33.129033,200,348.440774
-34.28966,200,349.532319
-33.325072,200,350.618425
-34.025369,200,351.704082
-45.488448,200,352.860468
-44.537758,200,354.083034
-39.205282,200,355.171517
-46.344697,200,356.272842
-45.249851,200,357.420943
-44.816274,200,358.513243
-42.577721,200,359.6045
-42.538996,200,360.744277
-43.525105,200,361.850881
-46.237492,200,363.006422
-44.927551,200,364.178874
-43.91024,200,365.412316
-40.728196,200,367.169266
-40.519082,200,368.260204
-45.189229,200,369.394976
-40.361343,200,370.498583
-43.906262,200,371.608016
-44.672127,200,372.733547
-44.382752,200,373.854405
-44.463936,200,374.949509
-43.861976,200,376.043777
-43.797861,200,377.148643
-42.846172,200,378.264195
-43.621852,200,379.395186
6.958814,200,380.541454
-42.068979,200,381.677207
-45.704626,200,382.821342
-42.392961,200,383.9902
3.884789,200,385.144562
-42.524666,200,386.302741
-43.948297,200,387.454214
-45.470971,200,388.600134
-45.101472,200,389.707206
-41.324229,200,390.802103
-31.761186,200,391.906369
-40.801061,200,393.083382
-43.065818,200,394.242087
18.631303,200,395.382916
-33.144103,200,396.549274
-38.48779,200,397.697909
-39.261471,200,398.825284
-42.480563,200,399.948225
-42.431935,200,401.048504
-46.767182,200,402.234679
-42.957604,200,403.473501
-38.374679,200,404.698468
-35.621668,200,405.823653
-39.467441,200,407.020972
-39.886705,200,408.220161
-41.732648,200,409.353061
-35.578116,200,410.484259
-40.110999,200,411.629599
-45.124799,200,412.755179
-37.504398,200,413.878949
-45.925824,200,415.022472
-44.331026,200,416.120474
-38.691322,200,417.224324
-6.203015,200,418.361963
-39.447822,200,419.472094
-37.205582,200,420.6124
-39.197964,200,421.741396
-36.808325,200,422.878198
-43.937302,200,424.05582
-42.131791,200,425.169754
-40.198294,200,426.276505
-41.112041,200,427.382622
305.916922,200,428.482646
-41.878296,200,429.611792
268.112083,200,430.740901
-43.068079,200,431.854182
-38.643785,200,432.966129
-45.050965,200,434.150377
-20.247035,200,435.255862
221.036635,200,436.394637
-38.62874,200,437.489006
-46.504982,200,438.675504
-37.425571,200,439.768286
-43.044699,200,440.866382
-38.532896,200,441.961763
-40.263737,200,443.061455
-37.473624,200,444.174972
-38.578241,200,445.310732
-43.18878,200,446.433298
-47.201511,200,447.555645
-42.23793,200,448.65557
-45.483232,200,449.75916
-46.444013,200,450.898236
-35.395126,200,451.995098
-44.047381,200,453.120311
-44.809627,200,454.254645
-44.695067,200,455.357629
292.192132,200,456.460174
-40.786898,200,457.662386
-40.852004,200,458.860314
-46.604777,200,459.96612
-40.967087,200,461.187191
-44.804735,200,462.304795
-46.262489,200,463.416965
-45.205674,200,464.545184
-39.726915,200,465.649573
-44.01216,200,466.761284
-41.807545,200,467.90165
-44.961047,200,469.017084
-46.004441,200,470.125909
-40.289938,200,471.245741
-31.908137,200,472.344224
-44.684915,200,473.491998
435.154992,200,474.656953
-44.960792,200,475.781118
-40.411061,200,476.897385
-44.289522,200,478.059965
302.450827,200,479.174076
-44.920266,200,480.299839
-35.609131,200,481.407522
338.133476,200,482.502243
323.022893,200,483.60047
-31.643408,200,484.706016
-34.967666,200,485.800593
-42.765568,200,486.922277
-41.131324,200,488.043319
-34.982507,200,489.14721
-35.101533,200,490.253985
-37.539372,200,491.367065
-39.839438,200,492.506906
-42.212737,200,493.643807
-40.822494,200,494.774095
-41.65027,200,495.889206
-41.2958,200,497.012568
-34.610455,200,498.110322
-41.556191,200,499.236652
-41.370792,200,500.354231
-41.403249,200,501.486352
-40.79219,200,502.600598
-40.444251,200,503.712905
-41.450618,200,504.844452
-44.528701,200,505.976523
-43.845832,200,507.101018
-43.780686,200,508.891333
-44.451436,200,510.000589
-44.748284,200,511.145063
-45.77049,200,512.271801
-45.833869,200,513.459593
-43.961413,200,514.606967
-46.436142,200,515.75102
-46.828623,200,516.926996
-45.145565,200,518.120463
-47.02484,200,519.29441
-46.739353,200,520.448737
-45.044166,200,521.551295
-45.537011,200,522.726353
-48.410209,200,523.85995
302.496944,200,524.961895
-46.553966,200,526.099858
-47.528221,200,527.238386
-47.739823,200,528.359082
-43.5763,200,529.507776
44.518287,200,530.614805
-45.376812,200,531.789732
-42.821543,200,532.890108
-45.571183,200,534.002963
-45.410975,200,535.1224
90.38918,200,536.230122
-46.511096,200,537.378434
119.642572,200,538.500942
-42.190152,200,539.608421
-18.322063,200,540.719249
-47.089019,200,541.836045
-44.580242,200,542.943045
-42.819947,200,544.062728
28.806581,200,545.169136
-45.346435,200,546.288348
-44.417695,200,547.421601
-42.727227,200,548.528761
-40.750617,200,549.641566
-37.478946,200,550.747314
-44.845718,200,551.894113
-46.067558,200,553.071436
-46.875403,200,554.2166
2739.363453,200,555.310971
-47.13817,200,556.470378
-42.811497,200,557.572107
-45.390528,200,558.712611
-43.9778,200,559.869919
-45.637221,200,561.014902
-45.89629,200,562.128504
-44.243438,200,563.23054
269.786597,200,564.323645
-41.461781,200,565.429883
-37.697343,200,566.523762
-44.391432,200,567.694102
-44.390976,200,568.795882
-42.935491,200,569.928807
-46.505191,200,571.124323
-42.608611,200,572.243349
-43.7167,200,573.349465
-34.850054,200,574.446771
-42.780068,200,575.589963
-44.615015,200,576.720413
-48.372652,200,577.855121
-38.379847,200,578.94595
-45.700432,200,580.062812
-42.397304,200,581.173518
-43.180335,200,582.323077
-41.708722,200,583.444044
-41.64026,200,584.592343
-46.040866,200,585.713821
-40.324659,200,586.833208
-46.173195,200,587.978439
-47.409041,200,589.094639
-44.401787,200,590.273687
-16.272475,200,591.406965
-47.17504,200,592.525753
-45.92178,200,593.666465
-46.68136,200,594.79297
-45.523078,200,595.921258
-45.774666,200,597.047332
-46.231254,200,598.16285
-46.421054,200,599.285579
-46.567904,200,600.459473
-43.370191,200,601.571945
-46.37425,200,602.694109
-45.701403,200,603.827995
-39.700501,200,604.919618
-38.152065,200,606.008766
-44.877606,200,607.131655
-44.447869,200,608.241613
-38.460426,200,609.339352
-37.370262,200,610.43027
432.76487,200,611.544493
-49.928321,200,612.673309
-37.20979,200,613.767555
-35.86913,200,614.863531
-47.651916,200,615.992205
-39.08611,200,617.098041
-45.995796,200,618.260735
-39.306158,200,619.356712
150.805966,200,620.460988
-45.657597,200,621.581416
-45.717128,200,622.7069
-46.614165,200,623.856889
-43.241341,200,625.011627
-45.784043,200,626.158026
199.713068,200,627.254047
-37.713218,200,628.408385
-39.145482,200,629.511548
-38.222483,200,630.672873
-38.848147,200,631.828224
-40.804302,200,632.944118
-42.012498,200,634.081799
-38.721709,200,635.182082
-46.863833,200,636.286391
-47.969862,200,637.432936
-42.259929,200,638.566345
-45.718507,200,639.673241
-46.37359,200,640.797805
2556.635751,200,641.895834
-45.563447,200,643.036716
-42.3656,200,644.152999
-46.055221,200,645.305417
-45.701396,200,646.471009
1984.761518,200,647.576387
-47.243419,200,648.703536
-47.908799,200,650.30683
-46.494981,200,651.416548
-47.733179,200,652.559435
-47.806325,200,653.714996
-47.691636,200,654.859846
-47.875243,200,655.983268
-47.390747,200,657.098185
-47.012901,200,658.196361
-46.591324,200,659.308395
-45.994871,200,660.413722
-44.760331,200,661.543509
-44.333854,200,662.649695
-44.362406,200,663.758014
-46.253131,200,664.876638
268.975396,200,665.985142
238.730562,200,667.092891
-42.506531,200,668.202761
-45.40228,200,669.315525
-33.399466,200,670.417689
-45.976514,200,671.556457
207.786622,200,672.659312
850.106504,200,673.77369
-46.370347,200,674.908886
-44.254403,200,676.021478
-44.400857,200,677.13897
254.712598,200,678.244391
-38.264322,200,679.348394
645.378073,200,680.493938
-43.982978,200,681.621226
-45.75889,200,682.73341
-45.093925,200,683.889364
