seed,episode_return,episode_length,success,success_any,max_door_hinge,min_palm_handle_distance,timesteps
201,-38.90705325260303,200,False,False,0.011967448164762248,0.3875372685394058,25000
202,-38.39695021309883,200,False,False,0.01196744816476224,0.3837571455642118,25000
203,-39.52994603042682,200,False,False,0.011967448164762272,0.3534722971850104,25000
204,-38.10813679402228,200,False,False,0.011967448164762261,0.4109730784728349,25000
205,-39.02490035153668,200,False,False,0.011967448164762228,0.37143074246922053,25000
201,-41.59179070207159,200,False,False,0.011967448164766338,0.1322188296091855,50000
202,-41.9390630301204,200,False,False,0.020253302337052213,0.18081234460979254,50000
203,-34.049965030379326,200,False,False,0.019438477650075853,0.05945285739127822,50000
204,-40.93301560028841,200,False,False,0.021516133869338355,0.125714735738511,50000
205,-35.71673596327455,200,False,False,0.011967448164766217,0.12964901286283848,50000
201,-46.76405198073522,200,False,False,0.011967448164764112,0.13406342948251912,75000
202,-44.89860813521762,200,False,False,0.04343996257123379,0.05518045790052741,75000
203,-43.9874166515912,200,False,False,0.011967438790124553,0.06978705836930597,75000
204,-43.320048408633994,200,False,False,0.011967448164763956,0.2244538204060348,75000
205,-43.20606931284417,200,False,False,0.03961533993540778,0.03540547126066577,75000
201,-40.18744331001149,200,False,False,0.011967448164773157,0.3845507221122298,100000
202,-43.047906206031165,200,False,False,0.016329460345739535,0.07791898557347973,100000
203,-40.58659761505471,200,False,False,0.011967448164767698,0.350376979726855,100000
204,-42.348915842012154,200,False,False,0.011967448164766975,0.057421918203198564,100000
205,130.32630731772082,200,False,False,0.32917098359657504,0.1200362325159114,100000
201,-47.67331070365567,200,False,False,0.04867453751544187,0.0630471820508333,125000
202,2251.4928401240245,200,True,True,1.5902825118534898,0.07901432603665438,125000
203,-47.144418934612624,200,False,False,0.016401526756895008,0.01803551572879824,125000
204,-45.93864616050981,200,False,False,0.020506361474639103,0.05392671985293721,125000
205,-46.28689120734383,200,False,False,0.06033529750550002,0.09762243809924556,125000
201,-44.429447711356794,200,False,False,0.05255420850044218,0.09825424220520523,150000
202,69.31432655411332,200,False,False,0.35925362416197615,0.023194301128209017,150000
203,-43.677336767858485,200,False,False,0.09902541967184302,0.0713789369049363,150000
204,30.395336439089984,200,False,False,0.29900659898133675,0.11112475826232547,150000
205,19.960440464329753,200,False,False,0.2278155008461835,0.029035903501182417,150000
201,-40.817618259627686,200,False,False,0.011967448164788409,0.28531909216826074,175000
202,-42.4807846891806,200,False,False,0.011967438790124553,0.2235026158736011,175000
203,-40.730885107724994,200,False,False,0.011967445282718927,0.3158027766011838,175000
