seed,episode_return,episode_length,success,success_any,max_door_hinge,min_palm_handle_distance
1001,2002.9684383730687,200,True,True,1.6272433447986103,0.09334819855360704
1002,1235.0694244799656,200,True,True,1.6131941678512356,0.0969833050331561
1003,2864.51561975027,200,True,True,1.582599968702761,0.06801027074431835
1004,-47.17599192568041,200,False,False,0.02166273699490178,0.11004440095914414
1005,1941.2359015721693,200,True,True,1.6323024332762794,0.020425521420256606
1006,286.3517860901047,200,False,False,0.9759118311507485,0.04011056678790747
1007,3048.989768209075,200,True,True,1.5832714531329437,0.08731405657236059
1008,3022.983345057265,200,True,True,1.5926341599612928,0.11797342144768079
1009,-44.961868906491546,200,False,False,0.08903034329250818,0.10156759204396767
1010,2738.129207974146,200,True,True,1.5715764045757716,0.030058046840245333
