seed,episode_return,episode_length,success,success_any,max_door_hinge,min_palm_handle_distance
101,-45.47053601366514,200,False,False,0.011967448164763021,0.11012947240738587
102,-46.262168260068776,200,False,False,0.011967448164778979,0.061851337976101976
103,-47.40572834911339,200,False,False,0.016476920990189277,0.06324324021606616
104,-46.02676972180928,200,False,False,0.011967448164764591,0.09704182751622073
105,-45.183023066763354,200,False,False,0.011967448164778814,0.09595589694111369
106,-46.80129773874744,200,False,False,0.01956640364522039,0.05734696907004046
107,-45.213609400089084,200,False,False,0.011967448164767814,0.05945979977726436
108,-45.15180496872998,200,False,False,0.011967448164787032,0.09410674657468451
109,-44.96318715820207,200,False,False,0.011967448164777064,0.09674336738453318
110,-44.93595203973807,200,False,False,0.011967448164778204,0.09097015957583701
