seed,episode_return,steps,final_goal_distance,max_fingertip_error,success_final,success_fraction
1001,-0.7117367424972508,50,0.008179937216149923,0.005025877556857738,True,0.06
1002,-0.9343908270363235,50,0.018787433052476044,0.013641823108382904,False,0.0
1003,-0.64537691690008,50,0.013370286958319396,0.010670147348562161,False,0.1
1004,-0.7777041521557715,50,0.013016975863678315,0.008623997144993626,False,0.0
1005,-0.622149477887371,50,0.011349434720958963,0.009432408984061452,False,0.18
1006,-0.9514696964860943,50,0.01658595757768294,0.01299366886426268,False,0.0
1007,-0.7969960975528078,50,0.014379219152401822,0.00805032050845282,False,0.0
1008,-0.7793527784496446,50,0.013265128977983489,0.007465364753273951,False,0.0
1009,-0.7722993622336138,50,0.013686755180765802,0.010282155622437431,False,0.0
1010,-0.7543945341747862,50,0.012761890248305369,0.010633389281868723,False,0.0
