seed,goal_type,max_fingertip_error,finger_distance_ff,finger_distance_mf,finger_distance_rf,finger_distance_lf,finger_distance_th,action_mean_abs,action_saturation_fraction,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_goal_distance,final_goal_distance,timesteps
201,thumb_finger_meet,0.05451203680556018,0.05451203680556018,0.03521397143351543,0.05197442926010149,0.04515029087164041,0.04079129211044572,0.09961863607168198,0.0,-5.01406691765892,50,False,False,0.0,,0.08066757402905186,0.10303109004352971,50000
202,thumb_finger_meet,0.05193258341524447,0.029028364060184948,0.04337562239832953,0.05193258341524447,0.04500635549712041,0.04190401662459916,0.10025564581155777,0.0,-4.682524519895452,50,False,False,0.0,,0.08078280002122666,0.09593019547067697,50000
203,thumb_finger_meet,0.0545831439507528,0.0545831439507528,0.048807642316893246,0.05200909789876109,0.0452087324564153,0.05011272771677888,0.09956924617290497,0.0,-5.528284906872005,50,False,False,0.0,,0.10055522722778497,0.11234574663002184,50000
204,initial_hold,0.054282872690905225,0.054282872690905225,0.04316802180361226,0.051831551800876466,0.04491110278767615,0.02309738308783423,0.0999380573630333,0.0,-4.729501663854751,50,False,False,0.0,,0.023597021317934456,0.1002352951570079,50000
205,thumb_finger_meet,0.06042565641012223,0.05438103958703517,0.043247353798320565,0.03834571721308453,0.04488247754270047,0.06042565641012223,0.10032569617033005,0.0,-5.466604839608644,50,False,False,0.0,,0.10344245126703304,0.1093787998136513,50000
206,thumb_finger_meet,0.054365140852965586,0.054365140852965586,0.043222098191204684,0.043364405006338626,0.04487989765950335,0.05087466309831139,0.1003035232424736,0.0,-5.30908516724133,50,False,False,0.0,,0.09910927013055941,0.10633262195987116,50000
207,thumb_finger_meet,0.051919463481880035,0.03534886262451264,0.04335260951374864,0.051919463481880035,0.04498488993987156,0.040617161692473036,0.10031502693891525,0.0,-4.7664924790956515,50,False,False,0.0,,0.08341506884055468,0.09745776354708416,50000
208,thumb_finger_meet,0.054372809739790424,0.054372809739790424,0.04319969426071507,0.05185698176945439,0.052996272123050484,0.038934008896381336,0.0996624305844307,0.0,-5.300230899773206,50,False,False,0.0,,0.08699865733678394,0.10879441386918794,50000
209,thumb_finger_meet,0.05437742332763596,0.05437742332763596,0.04323189754237912,0.03715742011270046,0.04491210016936162,0.043066790595585734,0.10017184168100357,0.0,-4.967431122798635,50,False,False,0.0,,0.08527719250794731,0.10039133526418609,50000
210,initial_hold,0.054282872690905225,0.054282872690905225,0.04316802180361226,0.051831551800876466,0.04491110278767615,0.02309738308783423,0.0999380573630333,0.0,-4.729501663854751,50,False,False,0.0,,0.023597021317934456,0.1002352951570079,50000
201,thumb_finger_meet,0.060827033067317675,0.060827033067317675,0.0166766185722941,0.04449786710428079,0.03953965002913868,0.012832394848124243,0.18349020183086395,0.0,-4.171808830361182,50,False,False,0.0,,0.06667779533819002,0.08767070216197374,100000
202,thumb_finger_meet,0.053617936215060155,0.02438266994126359,0.053617936215060155,0.04450164523004697,0.03926836197540164,0.014476752792970006,0.18419617414474487,0.0,-4.043505319891563,50,False,False,0.0,,0.06493089134384582,0.08486091402564407,100000
203,thumb_finger_meet,0.06081879228174586,0.06081879228174586,0.031154050962866088,0.04443328493329914,0.039548904680417336,0.025696393574410246,0.1835480034351349,0.0,-4.6028679363681855,50,False,False,0.0,,0.08580690638244627,0.09417132100657016,100000
204,initial_hold,0.06074496986262974,0.06074496986262974,0.053533094642181644,0.044531661674461105,0.039423757439262214,0.044780976347889745,0.18351919949054718,0.0,-5.051207931372146,50,False,False,0.0,,0.02625069269620055,0.10999264052821572,100000
205,thumb_finger_meet,0.06096010967373885,0.06096010967373885,0.05353336988178099,0.042112312413608854,0.039447612743117075,0.034287845940472315,0.18402902781963348,0.0,-5.1995582769758295,50,False,False,0.0,,0.09397882178361171,0.10529565066764979,100000
206,thumb_finger_meet,0.06092414548548068,0.06092414548548068,0.053521181962041,0.046279911711488354,0.03945116133715343,0.025974780616515994,0.1839432716369629,0.0,-5.161023301146051,50,False,False,0.0,,0.09117251665566055,0.10463833909566474,100000
207,thumb_finger_meet,0.053612065322251594,0.030172322939271808,0.053612065322251594,0.04449903493937767,0.03926315775304658,0.01622031412195434,0.18424823880195618,0.0,-4.1723198669873955,50,False,False,0.0,,0.06927283150459591,0.08700276361794795,100000
208,thumb_finger_meet,0.060954928488145196,0.060954928488145196,0.053645783154179665,0.04391092128282547,0.05266318937950145,0.012454473302918453,0.1833198368549347,0.0,-5.103074092568765,50,False,False,0.0,,0.08229005899435184,0.10700498953787621,100000
209,thumb_finger_meet,0.06091725719814588,0.06091725719814588,0.053542694550975746,0.03827634887405167,0.03948266982797386,0.015210403443112072,0.18378600478172302,0.0,-4.816215033133549,50,False,False,0.0,,0.077036881786512,0.09916173070847087,100000
