seed,goal_type,max_fingertip_error,finger_distance_ff,finger_distance_mf,finger_distance_rf,finger_distance_lf,finger_distance_th,action_mean_abs,action_saturation_fraction,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_goal_distance,final_goal_distance,timesteps
201,thumb_finger_meet,0.055743794587961484,0.03592969758418841,0.03650838822607275,0.02822980129515762,0.055743794587961484,0.048895179443448115,0.03770051151514053,0.0,-4.656179397733783,50,False,False,0.0,,0.08166721031525587,0.09443959163609719,50000
202,thumb_finger_meet,0.055746153952569,0.03831770680588497,0.0322593072105506,0.02823681423676191,0.055746153952569,0.051296391415513544,0.03780091181397438,0.0,-4.7093593056060765,50,False,False,0.0,,0.08618669952859599,0.0951061548353467,50000
203,thumb_finger_meet,0.06249940715456847,0.03590698308200708,0.05329385091401387,0.02821027132074752,0.05572374442452286,0.06249940715456847,0.03773128241300583,0.0,-5.412695215051805,50,False,False,0.0,,0.10129830502422991,0.1092551004514157,50000
204,initial_hold,0.05583882242851642,0.03604549207420298,0.03236760971052718,0.02832286518709316,0.05583882242851642,0.008004847402848566,0.03755006939172745,0.0,-3.8169459172978217,50,False,False,0.0,,0.017850815332976316,0.07956868744548308,50000
205,thumb_finger_meet,0.07066348768765776,0.035943559264285295,0.03224106361586671,0.05694848408405147,0.05572650502539283,0.07066348768765776,0.037835411727428436,0.0,-5.789684229603626,50,False,False,0.0,,0.10596736544527253,0.11693300359465632,50000
206,thumb_finger_meet,0.06201045423233422,0.035963026139929764,0.0322651992619547,0.059763866387951795,0.05574741619397718,0.06201045423233422,0.03778219595551491,0.0,-5.607286737431174,50,False,False,0.0,,0.10140556678065683,0.1133982932173002,50000
207,thumb_finger_meet,0.055748965559406165,0.04358784889526747,0.03226373377788,0.028239279743822066,0.055748965559406165,0.050491172466509776,0.03779559209942818,0.0,-4.803491030189856,50,False,False,0.0,,0.08862065465076414,0.09693096340717508,50000
208,thumb_finger_meet,0.05035793441579643,0.036043051944554046,0.03231790955578677,0.028290959786721328,0.03365666997596499,0.05035793441579643,0.037645284086465836,0.0,-4.160108081433603,50,False,False,0.0,,0.08253859866562066,0.08253859866562066,50000
209,thumb_finger_meet,0.055764978623359385,0.035977836000292106,0.03228709758579011,0.04933185549991129,0.055764978623359385,0.05242368591915441,0.037737321108579636,0.0,-5.081265300609594,50,False,False,0.0,,0.0880999008789033,0.10309446642306391,50000
210,initial_hold,0.05583882242851642,0.03604549207420298,0.03236760971052718,0.02832286518709316,0.05583882242851642,0.008004847402848566,0.03755006939172745,0.0,-3.8169459172978217,50,False,False,0.0,,0.017850815332976316,0.07956868744548308,50000
201,thumb_finger_meet,0.04940905027107651,0.025311385505931806,0.04682241168092582,0.015104739623105821,0.04183590890062515,0.04940905027107651,0.07819829136133194,0.0,-4.214018930476941,50,False,False,0.0,,0.08038258966419706,0.08516252199859388,100000
