seed,episode_return,steps,final_goal_distance,max_fingertip_error,success_final,success_fraction
1001,-5.197886380939034,50,0.07536376169634347,0.04717796795509782,False,0.0
1002,-6.657236656256915,50,0.10594154479474836,0.0703164062199618,False,0.0
1003,-6.221467911070443,50,0.13603587915068227,0.080061232169086,False,0.0
1004,-6.139939383009945,50,0.15259381469687772,0.0872919326217122,False,0.0
1005,-5.504692852291537,50,0.13523312202644105,0.06412715334453117,False,0.0
1006,-6.605106334864024,50,0.15831279490362946,0.0986707922221642,False,0.0
1007,-5.8989392751562,50,0.1286253359615339,0.09155573286319774,False,0.0
1008,-6.714048035444049,50,0.12759979719260733,0.07106675449937476,False,0.0
1009,-6.664869216634608,50,0.15730727510000272,0.08940130865544507,False,0.0
1010,-6.553098770560884,50,0.16110974575525955,0.08698264112782196,False,0.0
