#{"t_start": 1789220522.800371, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.773729,50,7.015921,0.0
-6.580786,50,7.051374,0.0
-5.78578,50,7.086519,0.0
-6.014063,50,7.121895,0.0
-5.682461,50,7.157046,0.0
-6.789873,50,7.19211,0.0
-5.751121,50,7.227184,0.0
-6.394569,50,7.262596,0.0
-5.861863,50,7.297343,0.0
-5.785237,50,7.33245,0.0
-5.601621,50,7.367534,0.0
-5.571228,50,7.402963,0.0
-5.840054,50,7.438183,0.0
-6.286455,50,7.473136,0.0
-5.679739,50,7.508315,0.0
-5.480429,50,7.543437,0.0
-5.608589,50,7.578383,0.0
-6.538981,50,7.613417,0.0
-5.978566,50,7.648483,0.0
-6.073883,50,7.798364,0.0
-5.748018,50,7.833928,0.0
-6.140555,50,7.869531,0.0
-4.886446,50,7.904906,0.0
-6.512241,50,7.939821,0.0
-6.188537,50,7.975092,0.0
-5.984843,50,8.01043,0.0
-5.624096,50,8.045414,0.0
-5.807535,50,8.080491,0.0
-5.941474,50,8.115638,0.0
-5.627846,50,8.150597,0.0
-6.172821,50,8.185811,0.0
-5.034163,50,8.221272,0.0
-5.751281,50,8.256707,0.0
-5.739533,50,8.291632,0.0
-5.833006,50,8.32656,0.0
-6.566148,50,8.361272,0.0
-6.591374,50,8.395936,0.0
-5.57639,50,8.431013,0.0
-6.094996,50,8.466041,0.0
-5.739083,50,8.500796,0.0
-6.523331,50,8.53566,0.0
-6.168617,50,8.570309,0.0
-5.97678,50,8.605076,0.0
-5.819104,50,8.640018,0.0
-5.575728,50,8.675171,0.0
-5.549807,50,8.709881,0.0
-6.550706,50,8.745206,0.0
-6.347754,50,8.780072,0.0
-6.294915,50,8.814864,0.0
-5.576848,50,8.850032,0.0
-5.76777,50,8.884948,0.0
-6.114868,50,8.919947,0.0
-6.051015,50,8.954844,0.0
-6.168899,50,8.989484,0.0
-6.162947,50,9.023711,0.0
-5.813828,50,9.058359,0.0
-5.561796,50,9.093503,0.0
-6.258664,50,9.128215,0.0
-6.213505,50,9.163198,0.0
-5.658087,50,9.198241,0.0
-5.820107,50,9.347412,0.0
-5.9092,50,9.382787,0.0
-5.125147,50,9.417822,0.0
-5.752276,50,9.453049,0.0
-6.866814,50,9.488314,0.0
-5.492953,50,9.523935,0.0
-4.899418,50,9.559568,0.0
-5.704158,50,9.594934,0.0
-6.233735,50,9.630152,0.0
-5.761031,50,9.665187,0.0
-5.884449,50,9.701015,0.0
-5.660977,50,9.737132,0.0
-5.888976,50,9.7737,0.0
-6.260653,50,9.809381,0.0
-5.638647,50,9.844395,0.0
-4.769839,50,9.880146,0.0
-5.628659,50,9.915589,0.0
-5.644527,50,9.95077,0.0
-5.232285,50,9.986201,0.0
-5.620929,50,10.021425,0.0
-6.059269,50,10.0568,0.0
-6.154872,50,10.092115,0.0
-5.998463,50,10.1273,0.0
-5.834431,50,10.162887,0.0
-6.195393,50,10.198201,0.0
-6.427045,50,10.233057,0.0
-6.330442,50,10.268258,0.0
-5.62159,50,10.303239,0.0
-5.746976,50,10.338083,0.0
-5.088256,50,10.373084,0.0
-5.111491,50,10.407963,0.0
-5.339942,50,10.443302,0.0
-5.057739,50,10.478419,0.0
-6.265894,50,10.51364,0.0
-5.470117,50,10.5491,0.0
-5.290241,50,10.584466,0.0
-6.229932,50,10.619418,0.0
-5.544703,50,10.654864,0.0
-6.447613,50,10.69035,0.0
-5.744927,50,10.725365,0.0
-6.41541,50,10.760768,0.0
-5.41218,50,10.909361,0.0
-6.047317,50,10.944527,0.0
-5.977267,50,10.979668,0.0
-5.511859,50,11.014846,0.0
-5.672653,50,11.049945,0.0
-5.795159,50,11.084882,0.0
-5.320546,50,11.11967,0.0
-6.148756,50,11.154375,0.0
-5.369874,50,11.189571,0.0
-5.286172,50,11.224863,0.0
-5.1728,50,11.259921,0.0
-6.286036,50,11.2955,0.0
