#{"t_start": 1789218848.1384692, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-6.044894,50,7.024129,0.0
-7.019352,50,7.059044,0.0
-5.985759,50,7.094102,0.0
-6.281013,50,7.129341,0.0
-6.417066,50,7.1649,0.0
-6.753054,50,7.200466,0.0
-6.01899,50,7.235349,0.0
-7.12861,50,7.270334,0.0
-5.866853,50,7.305282,0.0
-5.978469,50,7.340397,0.0
-5.258932,50,7.375724,0.0
-5.662749,50,7.410923,0.0
-6.246869,50,7.446028,0.0
-7.035094,50,7.481375,0.0
-6.365878,50,7.516568,0.0
-5.474785,50,7.551451,0.0
-6.136995,50,7.586423,0.0
-6.82641,50,7.621634,0.0
-6.56357,50,7.6574,0.0
-6.212393,50,7.805897,0.0
-6.020913,50,7.841061,0.0
-6.70429,50,7.876542,0.0
-5.431371,50,7.912201,0.0
-7.093737,50,7.947453,0.0
-6.27692,50,7.982603,0.0
-6.735727,50,8.018044,0.0
-5.989179,50,8.053135,0.0
-5.748532,50,8.088685,0.0
-6.295359,50,8.124277,0.0
-6.077538,50,8.159629,0.0
-6.555434,50,8.195,0.0
-5.088168,50,8.230109,0.0
-5.898005,50,8.265321,0.0
-6.469641,50,8.30043,0.0
-6.314795,50,8.335304,0.0
-6.56111,50,8.370819,0.0
-7.042155,50,8.405989,0.0
-6.010152,50,8.441448,0.0
-6.439586,50,8.476343,0.0
-5.883511,50,8.51153,0.0
-7.003736,50,8.54694,0.0
-6.227608,50,8.581835,0.0
-6.484125,50,8.617282,0.0
-6.474349,50,8.65219,0.0
-5.735365,50,8.687363,0.0
-5.76995,50,8.722511,0.0
-6.994537,50,8.757372,0.0
-6.760928,50,8.792388,0.0
-6.75601,50,8.827431,0.0
-5.480153,50,8.863201,0.0
-6.155858,50,8.898468,0.0
-6.688901,50,8.933396,0.0
-6.333559,50,8.968577,0.0
-6.804206,50,9.003012,0.0
-5.911434,50,9.038111,0.0
-5.616756,50,9.073263,0.0
-5.959025,50,9.108073,0.0
-6.422045,50,9.143128,0.0
-6.207266,50,9.178424,0.0
-6.092582,50,9.214073,0.0
-6.02896,50,9.363607,0.0
-5.856276,50,9.398984,0.0
-5.015747,50,9.433914,0.0
-5.757481,50,9.468872,0.0
-6.869431,50,9.50399,0.0
-5.602364,50,9.538961,0.0
-4.850306,50,9.573937,0.0
-5.749627,50,9.609074,0.0
-6.663581,50,9.644011,0.0
-5.879379,50,9.679022,0.0
-6.031131,50,9.714393,0.0
-5.450677,50,9.749235,0.0
-5.826015,50,9.784006,0.0
-7.174582,50,9.81892,0.0
-6.072678,50,9.853441,0.0
-4.881963,50,9.888303,0.0
-5.606749,50,9.923275,0.0
-5.952668,50,9.95827,0.0
-5.644881,50,9.99321,0.0
-6.089584,50,10.028038,0.0
-6.015757,50,10.062809,0.0
-6.751871,50,10.097779,0.0
-6.303313,50,10.132724,0.0
-6.065632,50,10.168423,0.0
-6.346433,50,10.204387,0.0
-6.124697,50,10.239841,0.0
-6.84763,50,10.275867,0.0
-5.559145,50,10.311151,0.0
-6.069247,50,10.346128,0.0
-4.693152,50,10.381628,0.0
-5.583241,50,10.416979,0.0
-5.928239,50,10.452053,0.0
-5.666048,50,10.487534,0.0
-6.8861,50,10.522548,0.0
-6.101614,50,10.557847,0.0
-5.169112,50,10.592998,0.0
-6.396395,50,10.627982,0.0
-5.296173,50,10.663449,0.0
-6.5628,50,10.698869,0.0
-6.300559,50,10.734943,0.0
-7.039173,50,10.770225,0.0
-4.809075,50,10.927324,0.0
