seed,goal_type,max_fingertip_error,finger_distance_ff,finger_distance_mf,finger_distance_rf,finger_distance_lf,finger_distance_th,action_mean_abs,action_saturation_fraction,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_goal_distance,final_goal_distance
201,thumb_finger_meet,0.06464568374230342,0.01224560007484802,0.06464568374230342,0.02075174377255561,0.011328707510576592,0.013368778701543108,0.7749952673912048,0.513,-3.289802868692124,50,False,False,0.0,,0.057353008409740835,0.07118088138774245
202,thumb_finger_meet,0.06099391385433669,0.06099391385433669,0.007115620942777168,0.020526084724743522,0.011301599023471207,0.01463181529892798,0.7747149467468262,0.509,-3.091778321317667,50,False,False,0.0,,0.054574274932595625,0.06733517581641969
203,thumb_finger_meet,0.08324494045325129,0.012253293161203912,0.08324494045325129,0.020710701731017828,0.011331400562000677,0.025594883090360912,0.7752687931060791,0.522,-4.184289814274815,50,False,False,0.0,,0.07241805377749942,0.09106204011363186
204,initial_hold,0.05904893668018519,0.0121801365241264,0.007196830100247081,0.02073114195900554,0.011352885359685894,0.05904893668018519,0.7743036150932312,0.508,-3.3440172169596996,50,False,False,0.0,,0.04617071253818667,0.06515823252063634
205,thumb_finger_meet,0.06015998100254242,0.012256295630502472,0.007201853235516848,0.06015998100254242,0.011310812223147188,0.02456112088787238,0.774714469909668,0.52,-3.812063458596146,50,False,False,0.0,,0.06476860554907751,0.06747214180126818
206,thumb_finger_meet,0.062051005265043604,0.012208649413310641,0.00712854127793874,0.062051005265043604,0.011326898750774564,0.021868876523602997,0.7746193408966064,0.519,-3.802447728776245,50,False,False,0.0,,0.0656785670306811,0.06824031705206073
207,thumb_finger_meet,0.06531614661476806,0.06531614661476806,0.007115369442584586,0.02052026143541679,0.011295224887981377,0.01644639486171377,0.7747037410736084,0.509,-3.2874343174181515,50,False,False,0.0,,0.05793456140216198,0.07166571446306579
208,thumb_finger_meet,0.07011395635569369,0.012166428902043936,0.007214622501750168,0.02076154890199043,0.07011395635569369,0.020990770136423573,0.7748706340789795,0.518,-3.687644565836827,50,False,False,0.0,,0.06813591665368303,0.07738019119677388
209,thumb_finger_meet,0.05073307985547985,0.012264064870037056,0.007206060717009634,0.05073307985547985,0.011322357132172825,0.015149315869589366,0.7745413780212402,0.514,-3.219804760501286,50,False,False,0.0,,0.05365830350649925,0.055981046186734114
210,initial_hold,0.05904893668018519,0.0121801365241264,0.007196830100247081,0.02073114195900554,0.011352885359685894,0.05904893668018519,0.7743036150932312,0.508,-3.3440172169596996,50,False,False,0.0,,0.04617071253818667,0.06515823252063634
