#{"t_start": 1789219698.883519, "env_id": "HandReachDense-v3"}
r,l,t,is_success
-5.415214,50,0.041602,0.0
-6.110921,50,0.076332,0.0
-6.4261,50,0.111903,0.0
-5.625713,50,0.147526,0.0
-5.733228,50,0.183187,0.0
-6.248207,50,0.219506,0.0
-6.587068,50,0.255044,0.0
-5.916315,50,0.290276,0.0
-5.997388,50,0.325423,0.0
-6.896315,50,0.360921,0.0
-7.112938,50,0.396214,0.0
-6.063788,50,0.431418,0.0
-6.938721,50,0.46618,0.0
-6.454179,50,0.501663,0.0
-7.162551,50,0.536809,0.0
-6.072677,50,0.57215,0.0
-6.071378,50,0.608369,0.0
-6.108689,50,0.644305,0.0
-6.550197,50,0.679758,0.0
-6.585923,50,0.715085,0.0
-6.092157,50,0.750395,0.0
-6.820358,50,0.785947,0.0
-6.923264,50,0.821345,0.0
-5.320177,50,0.858123,0.0
-7.155817,50,0.893481,0.0
-6.881486,50,0.928868,0.0
-6.098345,50,0.964366,0.0
-6.882915,50,0.999849,0.0
-6.510698,50,1.035037,0.0
-6.051159,50,1.070545,0.0
-6.824171,50,1.106972,0.0
-6.004468,50,1.143223,0.0
-6.185299,50,1.179388,0.0
-6.700161,50,1.215019,0.0
-8.053056,50,1.250349,0.0
-6.335844,50,1.285327,0.0
-7.638785,50,1.320986,0.0
-6.358242,50,1.357034,0.0
-6.736931,50,1.392522,0.0
-7.181634,50,1.428861,0.0
-6.509244,50,1.579152,0.0
-6.922345,50,1.615113,0.0
-7.4721,50,1.650574,0.0
-5.667301,50,1.686769,0.0
-7.26862,50,1.722081,0.0
-7.062676,50,1.757469,0.0
-6.196613,50,1.793138,0.0
-6.049246,50,1.828888,0.0
-6.357279,50,1.865124,0.0
-7.014686,50,1.900607,0.0
-7.033094,50,1.935948,0.0
-6.308395,50,1.970995,0.0
-6.304968,50,2.006039,0.0
-5.681832,50,2.041365,0.0
-5.873422,50,2.076614,0.0
-7.055357,50,2.112119,0.0
-7.041118,50,2.148391,0.0
-5.321113,50,2.183965,0.0
-6.845644,50,2.219887,0.0
-6.397596,50,2.255291,0.0
-6.091798,50,2.291229,0.0
-5.877864,50,2.326712,0.0
-5.850709,50,2.362008,0.0
-6.77834,50,2.396822,0.0
-7.619599,50,2.432444,0.0
-5.405796,50,2.467627,0.0
-6.649176,50,2.502735,0.0
-6.871779,50,2.538231,0.0
-7.063966,50,2.573068,0.0
-6.969476,50,2.608194,0.0
-6.187734,50,2.644949,0.0
-6.463556,50,2.682376,0.0
-6.649186,50,2.718011,0.0
-7.122925,50,2.754182,0.0
-6.502364,50,2.790062,0.0
-6.381131,50,2.825419,0.0
-6.02422,50,2.861324,0.0
-5.509379,50,2.89695,0.0
-6.740929,50,2.93251,0.0
-6.637385,50,2.968149,0.0
-7.275033,50,3.003559,0.0
-6.649258,50,3.154982,0.0
-6.761682,50,3.191016,0.0
-5.567584,50,3.226298,0.0
-6.34062,50,3.261955,0.0
-6.278294,50,3.297098,0.0
-6.273938,50,3.333007,0.0
-6.533508,50,3.36862,0.0
-6.388496,50,3.404244,0.0
-5.110256,50,3.439662,0.0
-5.874183,50,3.474681,0.0
-6.69302,50,3.510013,0.0
-5.894593,50,3.545593,0.0
-5.96894,50,3.58086,0.0
-7.742016,50,3.616791,0.0
-7.373859,50,3.652587,0.0
-6.805016,50,3.688369,0.0
-5.841912,50,3.72361,0.0
-5.768886,50,3.759536,0.0
-6.699398,50,3.794948,0.0
-6.799651,50,3.830519,0.0
-7.452058,50,3.865995,0.0
-6.169764,50,3.90119,0.0
-6.682771,50,3.936226,0.0
-6.272071,50,3.971361,0.0
-6.085252,50,4.006938,0.0
-6.746274,50,4.042312,0.0
-6.486648,50,4.077076,0.0
-6.063143,50,4.112601,0.0
-6.877383,50,4.148121,0.0
-6.238278,50,4.183701,0.0
-6.283459,50,4.219023,0.0
-6.711314,50,4.254186,0.0
-6.538581,50,4.289532,0.0
-6.34422,50,4.325034,0.0
-6.415911,50,4.360152,0.0
-6.230284,50,4.395211,0.0
-6.708775,50,4.430502,0.0
-6.891231,50,4.46548,0.0
-6.731416,50,4.500988,0.0
-7.1227,50,4.53639,0.0
-6.13562,50,4.571579,0.0
-7.427372,50,4.722591,0.0
-6.307199,50,4.758545,0.0
-6.986745,50,4.794568,0.0
-6.552099,50,4.829667,0.0
-5.952469,50,4.865146,0.0
-5.373188,50,4.900801,0.0
-4.736776,50,4.93649,0.0
-6.309611,50,4.971784,0.0
-6.671238,50,5.00715,0.0
-6.303051,50,5.04251,0.0
-6.436564,50,5.077898,0.0
-6.294597,50,5.113753,0.0
-6.770103,50,5.149173,0.0
-6.220348,50,5.184773,0.0
-6.347677,50,5.220306,0.0
-5.478812,50,5.25616,0.0
-5.585881,50,5.292245,0.0
-5.952171,50,5.328552,0.0
-6.39137,50,5.364472,0.0
-6.449481,50,5.400218,0.0
-6.677593,50,5.436149,0.0
-6.204331,50,5.472336,0.0
-6.585889,50,5.507619,0.0
-6.46188,50,5.543064,0.0
-6.459571,50,5.579194,0.0
-7.770562,50,5.61526,0.0
-7.191853,50,5.650561,0.0
-7.296544,50,5.686469,0.0
-6.260268,50,5.722469,0.0
-6.055812,50,5.75792,0.0
-6.20863,50,5.793794,0.0
-6.159768,50,5.829131,0.0
-6.156314,50,5.864916,0.0
-5.615131,50,5.900724,0.0
-5.612885,50,5.936343,0.0
-6.210607,50,5.971777,0.0
-4.800684,50,6.007392,0.0
-6.34602,50,6.04293,0.0
-6.475027,50,6.07812,0.0
-6.958341,50,6.113645,0.0
-6.927889,50,6.14923,0.0
-6.44938,50,6.300613,0.0
-6.336312,50,6.33672,0.0
-6.548275,50,6.372363,0.0
-5.217502,50,6.409196,0.0
-5.729907,50,6.444771,0.0
-6.348049,50,6.480285,0.0
-6.410749,50,6.516027,0.0
-6.286665,50,6.551779,0.0
-6.354357,50,6.587055,0.0
-5.793283,50,6.622369,0.0
-7.339574,50,6.658088,0.0
-6.324368,50,6.693163,0.0
-6.186504,50,6.728851,0.0
-6.931067,50,6.76394,0.0
-6.172133,50,6.799921,0.0
-6.685895,50,6.835283,0.0
-6.263223,50,6.871309,0.0
-5.760222,50,6.906666,0.0
-6.533924,50,6.942168,0.0
-6.373955,50,6.978039,0.0
-6.267213,50,7.01361,0.0
-6.296003,50,7.049354,0.0
-6.098456,50,7.084427,0.0
-6.937169,50,7.119853,0.0
-6.075578,50,7.155261,0.0
-6.445312,50,7.190819,0.0
-6.462581,50,7.22603,0.0
-6.508498,50,7.261723,0.0
-6.022053,50,7.29677,0.0
-7.257906,50,7.331958,0.0
-6.037271,50,7.366637,0.0
-6.211955,50,7.401874,0.0
-5.588236,50,7.436941,0.0
-5.686702,50,7.472516,0.0
-6.327412,50,7.507749,0.0
-7.511247,50,7.543024,0.0
-6.60182,50,7.578481,0.0
-5.551174,50,7.61343,0.0
-6.275294,50,7.649118,0.0
-6.931793,50,7.684625,0.0
-6.579144,50,7.719845,0.0
-6.317598,50,7.869399,0.0
-6.10043,50,7.905118,0.0
-6.70003,50,7.940749,0.0
-5.410979,50,7.975953,0.0
-7.248792,50,8.010919,0.0
-6.368471,50,8.046282,0.0
-6.970489,50,8.082296,0.0
-5.933521,50,8.117855,0.0
-5.901878,50,8.153544,0.0
-6.553772,50,8.189235,0.0
-6.068037,50,8.224646,0.0
-6.551577,50,8.260213,0.0
-5.133461,50,8.295387,0.0
-5.964936,50,8.330745,0.0
-6.511314,50,8.366203,0.0
-6.425456,50,8.402614,0.0
-6.717335,50,8.438428,0.0
-7.279692,50,8.474376,0.0
-6.046642,50,8.51028,0.0
-6.45891,50,8.545845,0.0
-5.909552,50,8.582042,0.0
-7.218582,50,8.618131,0.0
-6.392487,50,8.653921,0.0
-6.624883,50,8.689674,0.0
-6.54348,50,8.725094,0.0
-5.766414,50,8.760576,0.0
-5.86287,50,8.796231,0.0
-7.115844,50,8.831493,0.0
-6.943762,50,8.86696,0.0
-6.843447,50,8.902183,0.0
-5.53523,50,8.937463,0.0
-6.240735,50,8.972626,0.0
-6.772724,50,9.00799,0.0
-6.500934,50,9.043406,0.0
-6.888784,50,9.077994,0.0
-6.054773,50,9.113484,0.0
-5.728604,50,9.148786,0.0
-5.954102,50,9.184204,0.0
-6.664789,50,9.220436,0.0
-6.318659,50,9.256215,0.0
-6.106435,50,9.29192,0.0
-6.178727,50,9.443592,0.0
-6.054081,50,9.479365,0.0
-5.166528,50,9.514752,0.0
-5.992527,50,9.549976,0.0
-7.130895,50,9.584967,0.0
-5.904715,50,9.620364,0.0
-4.952375,50,9.655829,0.0
-5.927685,50,9.691119,0.0
-6.74249,50,9.726183,0.0
-6.050143,50,9.762171,0.0
-6.219483,50,9.797838,0.0
-5.656242,50,9.833325,0.0
-6.117373,50,9.868308,0.0
-7.194049,50,9.903653,0.0
-6.070852,50,9.938581,0.0
-4.961902,50,9.97377,0.0
-5.795918,50,10.009001,0.0
-6.052113,50,10.044457,0.0
-5.856432,50,10.079543,0.0
-6.19882,50,10.114816,0.0
-6.333002,50,10.150509,0.0
-6.982709,50,10.186423,0.0
-6.37429,50,10.222453,0.0
-6.079163,50,10.258156,0.0
-6.498536,50,10.293785,0.0
-6.802057,50,10.329518,0.0
-6.950802,50,10.365141,0.0
-5.818242,50,10.400816,0.0
-6.200857,50,10.436169,0.0
-4.96407,50,10.471737,0.0
-5.700807,50,10.50719,0.0
