seed,episode_return,steps,final_goal_distance,max_fingertip_error,success_final,success_fraction
101,-6.339069465638772,50,0.11699342813240216,0.06390189089044832,False,0.0
102,-7.312270500680411,50,0.14566132822082756,0.09110306145704973,False,0.0
103,-6.908290395407679,50,0.17678804438871865,0.10201562727710364,False,0.0
104,-6.693652830480462,50,0.10720160394180675,0.05576083348025924,False,0.0
105,-6.414108423105637,50,0.14232672904949015,0.07760079754063227,False,0.0
106,-6.5255283571329405,50,0.13434251446253173,0.08120304491222345,False,0.0
107,-6.183206888913667,50,0.11789585879258244,0.07238677348945793,False,0.0
108,-6.636676733375063,50,0.1428899633917576,0.07992066137317788,False,0.0
109,-6.178408752881151,50,0.11552652311506582,0.07663445767280976,False,0.0
110,-6.9609880572992795,50,0.14033330833033766,0.06838667302400393,False,0.0
111,-6.94106113299316,50,0.12318450489827959,0.08850496837277314,False,0.0
112,-6.793949380861855,50,0.10896048112792829,0.07550552260594216,False,0.0
113,-6.76235395154089,50,0.12459381853043412,0.08085238300635922,False,0.0
114,-6.460585579378503,50,0.11106974422255762,0.0725874066681918,False,0.0
115,-6.049519228367801,50,0.12961108892137907,0.08248140381817913,False,0.0
116,-6.767838329263734,50,0.15346779507341995,0.09917468074511152,False,0.0
117,-6.904228917311859,50,0.13852474583436492,0.08597969177414234,False,0.0
118,-6.3740134117330065,50,0.1338327609202636,0.06909460006289907,False,0.0
119,-5.80709314422528,50,0.11050944733205832,0.07927617043567413,False,0.0
120,-6.042072858869087,50,0.14028109383041054,0.07402733093358316,False,0.0
