rollout/success_rate,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/explained_variance,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/n_updates
0.0,1,2048,1,-6.073148625,1413,50.0,,,,,,,,,,,
0.0,3,4096,2,-6.054496432098766,1361,50.0,0.1,-8.377728247642517,-0.025403587776236237,0.36783525347709656,0.1583984375,-0.6691951751708984,1.1103626489639282,0.1906878501176834,0.0039837775,3e-05,10
0.0,4,6144,3,-6.03598444,1346,50.0,0.1,-8.373969316482544,-0.02105870154337026,0.3677257001399994,0.15224609375,-0.7343262434005737,0.8703039612621069,0.12071575224399567,0.0034081128,3e-05,20
0.0,6,8192,4,-5.96494385,1338,50.0,0.1,-8.368156480789185,-0.021306174175697377,0.367636114358902,0.153857421875,-0.7136662006378174,0.6446241710335017,0.1471387892961502,0.00395819,3e-05,30
0.0,7,10240,5,-5.938807040000001,1334,50.0,0.1,-8.363049721717834,-0.022709329810459165,0.36753544211387634,0.175927734375,-0.8812347650527954,0.5018402472138405,0.09515684098005295,0.0038450393,3e-05,40
0.0,9,12288,6,-5.94545262,1332,50.0,0.1,-8.35731062889099,-0.021225821564439685,0.36741894483566284,0.148681640625,-1.10760498046875,0.4129337636753917,0.11560438573360443,0.003825703,3e-05,50
0.0,10,14336,7,-5.871901790000001,1329,50.0,0.1,-8.350260996818543,-0.02235566084855236,0.3672764003276825,0.166259765625,-1.376413345336914,0.3595012605190277,0.08029533177614212,0.003915693,3e-05,60
0.0,12,16384,8,-5.804319949999999,1328,50.0,0.1,-8.340245521068573,-0.02277472821297124,0.36705124378204346,0.1619140625,-1.1544198989868164,0.2691434592008591,0.0662425234913826,0.0038253106,3e-05,70
0.0,13,18432,9,-5.780029000000001,1327,50.0,0.1,-8.329292798042298,-0.023475289111956954,0.36688223481178284,0.16982421875,-1.114262342453003,0.21309078931808473,0.03859494626522064,0.0038792598,3e-05,80
0.0,15,20480,10,-5.799670089999999,1327,50.0,0.1,-8.320484566688538,-0.023661455255933106,0.3667263984680176,0.163037109375,-1.5098330974578857,0.17572434544563292,0.024736978113651276,0.003910216,3e-05,90
0.0,16,22528,11,-5.80539267,1326,50.0,0.1,-8.312426674365998,-0.02362718158401549,0.36659902334213257,0.158984375,-1.4135355949401855,0.15380073050037027,0.014446888118982315,0.0038668916,3e-05,100
0.0,18,24576,12,-5.7251128399999995,1325,50.0,0.1,-8.308209252357482,-0.02638624534010887,0.3665677011013031,0.196826171875,-1.3429067134857178,0.1359225006774068,0.017418500036001205,0.004171094,3e-05,110
0.0,20,26624,13,-5.653206899999999,1324,50.0,0.1,-8.307113289833069,-0.026037563395220786,0.36655253171920776,0.19306640625,-1.560152530670166,0.10034308768808842,-0.00474877655506134,0.0041562365,3e-05,120
0.0,21,28672,14,-5.58745415,1323,50.0,0.1,-8.304398131370544,-0.02570896055549383,0.3664669096469879,0.20400390625,-0.9717342853546143,0.09548805616796016,0.0062483325600624084,0.0041025067,3e-05,130
0.0,23,30720,15,-5.55213914,1322,50.0,0.1,-8.298986291885376,-0.026706501725129783,0.36636289954185486,0.214306640625,-1.1583318710327148,0.07723073158413171,-0.011316485702991486,0.004571008,3e-05,140
0.0,24,32768,16,-5.58720061,1322,50.0,0.1,-8.29476844072342,-0.02602882933570072,0.36633986234664917,0.197802734375,-1.5032603740692139,0.07788774902001024,-0.00492805615067482,0.004056326,3e-05,150
0.0,26,34816,17,-5.603362880000001,1321,50.0,0.1,-8.293079447746276,-0.026419335167156534,0.36628493666648865,0.205615234375,-1.0204377174377441,0.0785947831813246,-0.006902273744344711,0.004549805,3e-05,160
0.0,27,36864,18,-5.55218651,1321,50.0,0.1,-8.289874160289765,-0.02629730185144581,0.36622175574302673,0.188330078125,-1.8487217426300049,0.06476857224479318,-0.0106729194521904,0.0047079697,3e-05,170
0.0,29,38912,19,-5.5091891099999994,1320,50.0,0.1,-8.285625076293945,-0.02827987833879888,0.3661216199398041,0.211669921875,-0.8791506290435791,0.06695604524575174,-0.014380957931280136,0.004408039,3e-05,180
0.0,31,40960,20,-5.46011668,1319,50.0,0.1,-8.282695746421814,-0.026872935285791755,0.3661159574985504,0.201416015625,-1.1141986846923828,0.06616496127098799,-0.010404085740447044,0.0041953083,3e-05,190
0.0,32,43008,21,-5.415546099999999,1319,50.0,0.1,-8.282130432128906,-0.026469987386371942,0.3661055266857147,0.2119140625,-1.194066047668457,0.05891578174196184,-0.015363205224275589,0.0044477405,3e-05,200
0.0,34,45056,22,-5.378911730000001,1318,50.0,0.1,-8.279363536834717,-0.026692325744079426,0.3660009205341339,0.207958984375,-2.027982711791992,0.05506086619570851,-0.01158931478857994,0.0040581254,3e-05,210
0.0,35,47104,23,-5.31163979,1318,50.0,0.1,-8.275540721416473,-0.025977383460849525,0.3659706711769104,0.209765625,-0.9822241067886353,0.057666891952976584,-0.009170103818178177,0.0042668134,3e-05,220
0.0,37,49152,24,-5.3157524,1318,50.0,0.1,-8.274403750896454,-0.027196116803679615,0.36596763134002686,0.22353515625,-0.7599812746047974,0.05599325578659773,-0.013772822916507721,0.004533998,3e-05,230
0.0,39,51200,25,-5.22853024,1306,50.0,0.1,-8.275271284580231,-0.027454611280700193,0.36599865555763245,0.203271484375,-1.7972538471221924,0.050079734064638615,-0.020349059253931046,0.004303256,3e-05,240
0.0,40,53248,26,-5.165735499999999,1306,50.0,0.1,-8.27629382610321,-0.02695558846462518,0.36600032448768616,0.198828125,-0.9249874353408813,0.04681741935200989,-0.01583276502788067,0.0040201186,3e-05,250
0.0,42,55296,27,-5.20276994,1306,50.0,0.1,-8.274397075176239,-0.026541611476568507,0.365931898355484,0.202783203125,-0.7428439855575562,0.05474081207066774,-0.014040116220712662,0.004254707,3e-05,260
0.0,43,57344,28,-5.123611629999999,1306,50.0,0.1,-8.271735644340515,-0.026912817638367413,0.36591678857803345,0.2166015625,-0.9015803337097168,0.04803358553908765,-0.021059425547719002,0.004367549,3e-05,270
0.0,45,59392,29,-5.0749315699999995,1306,50.0,0.1,-8.26978396177292,-0.026907641813158988,0.3658357262611389,0.20732421875,-0.6518455743789673,0.056733139371499416,-0.0175276231020689,0.004319115,3e-05,280
0.0,47,61440,30,-5.13137623,1306,50.0,0.1,-8.264830791950226,-0.02498716689879075,0.36574432253837585,0.168017578125,-0.8863662481307983,0.05117522547952831,-0.012227725237607956,0.0040108934,3e-05,290
0.0,48,63488,31,-5.22267638,1306,50.0,0.1,-8.258947587013244,-0.025506771105574443,0.3656284213066101,0.19248046875,-0.9996393918991089,0.044013195158913734,-0.01593625918030739,0.0042322986,3e-05,300
0.0,50,65536,32,-5.188094259999999,1306,50.0,0.1,-8.254474484920502,-0.025780002705869266,0.36558762192726135,0.195556640625,-1.0020465850830078,0.047645198088139294,-0.019258622080087662,0.0044096266,3e-05,310
0.0,51,67584,33,-5.05702167,1306,50.0,0.1,-8.25365982055664,-0.027536258316831663,0.36558860540390015,0.205322265625,-0.6193598508834839,0.05422044233419001,-0.015415199100971222,0.0046853516,3e-05,320
0.0,53,69632,34,-4.97400312,1306,50.0,0.1,-8.252978444099426,-0.02684556433232501,0.3655596375465393,0.1833984375,-0.42605292797088623,0.05260539008304477,-0.014928437769412994,0.004227574,3e-05,330
0.0,54,71680,35,-5.07995918,1305,50.0,0.1,-8.251287639141083,-0.027344764152076095,0.36553582549095154,0.216455078125,-1.0205192565917969,0.03667582797352224,-0.026866700500249863,0.0047990177,3e-05,340
0.0,56,73728,36,-5.10755336,1305,50.0,0.1,-8.24870365858078,-0.026947955961804836,0.3654536306858063,0.205908203125,-0.5372787714004517,0.04617552757263184,-0.023171667009592056,0.004540733,3e-05,350
0.0,58,75776,37,-4.99149613,1305,50.0,0.1,-8.247210824489594,-0.026861305331112816,0.36550113558769226,0.18505859375,-0.7148367166519165,0.04545047269202769,-0.023762296885252,0.004447121,3e-05,360
0.0,59,77824,38,-4.91939962,1305,50.0,0.1,-8.245930659770966,-0.027834876358974726,0.3653857409954071,0.227099609375,-0.4021327495574951,0.04369113780558109,-0.02312466688454151,0.0049498766,3e-05,370
0.0,61,79872,39,-5.00198265,1305,50.0,0.1,-8.240480780601501,-0.027499360020738096,0.36531487107276917,0.21904296875,-0.6901836395263672,0.03723863335326314,-0.0255875363945961,0.004608875,3e-05,380
0.0,62,81920,40,-5.02632019,1305,50.0,0.1,-8.235082292556763,-0.0281737731769681,0.3651968836784363,0.23046875,-0.5521801710128784,0.04577535237185657,-0.021125484257936478,0.004929302,3e-05,390
0.0,64,83968,41,-5.011074870000001,1305,50.0,0.1,-8.232943034172058,-0.027670079917879776,0.365230530500412,0.230224609375,-0.31909751892089844,0.050945968553423884,-0.022348448634147644,0.004502746,3e-05,400
0.0,65,86016,42,-4.920059479999999,1305,50.0,0.1,-8.234583616256714,-0.02751734514022246,0.3652445673942566,0.200048828125,-0.5208135843276978,0.04279185002669692,-0.022399209439754486,0.0042819865,3e-05,410
0.0,67,88064,43,-4.904762590000001,1305,50.0,0.1,-8.234498798847198,-0.02605780161684379,0.36523324251174927,0.2021484375,-0.6704907417297363,0.04060619468800723,-0.02295234426856041,0.0046103895,3e-05,420
0.0,69,90112,44,-4.857818910000001,1305,50.0,0.1,-8.23107635974884,-0.025935494567966087,0.36511310935020447,0.195458984375,-0.8466503620147705,0.036746721086092296,-0.023501301184296608,0.0043851826,3e-05,430
0.0,70,92160,45,-4.87366092,1305,50.0,0.1,-8.227087450027465,-0.026128151954617353,0.3651145398616791,0.18212890625,-0.35977792739868164,0.04424870698712766,-0.019448058679699898,0.004697644,3e-05,440
