seed,goal_type,max_fingertip_error,finger_distance_ff,finger_distance_mf,finger_distance_rf,finger_distance_lf,finger_distance_th,action_mean_abs,action_saturation_fraction,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_goal_distance,final_goal_distance
201,thumb_finger_meet,0.05013010600330894,0.022441685197974088,0.05013010600330894,0.021046754449655355,0.01938978218385497,0.0032970021180813392,0.23651045560836792,0.069,-3.1434763893679842,50,False,False,0.0,,0.060891862372211815,0.06201980741179402
202,thumb_finger_meet,0.04944539308369446,0.04944539308369446,0.015049297646287745,0.021025983983187117,0.019462741949014,0.004738065920379089,0.23683486878871918,0.069,-3.0212673938208385,50,False,False,0.0,,0.057487727137612986,0.0592846341993322
203,thumb_finger_meet,0.06840667047331776,0.022453649680476775,0.06840667047331776,0.021021742076628075,0.019429287411104515,0.01804401049835722,0.23663078248500824,0.069,-4.035295396770696,50,False,False,0.0,,0.07709522611517106,0.07955272536703607
204,initial_hold,0.053705308288172715,0.022565785829904983,0.015098011506490773,0.021088451453744595,0.019516928702237406,0.053705308288172715,0.23603971302509308,0.069,-3.2492014250138794,50,False,False,0.0,,0.02034173697685864,0.06668626598171547
205,thumb_finger_meet,0.060377336840257124,0.022253073935997618,0.014942519936536383,0.060377336840257124,0.019190744178326464,0.024817183763831973,0.23678690195083618,0.069,-3.732926135269345,50,False,False,0.0,,0.07255734284893618,0.07313055638830057
206,thumb_finger_meet,0.06274678749570774,0.022258153944299336,0.01493967602141831,0.06274678749570774,0.019192968616993707,0.017644548793861656,0.23667755722999573,0.069,-3.7252985127759892,50,False,False,0.0,,0.07274556532236703,0.0730443620284033
207,thumb_finger_meet,0.05346317219341257,0.05346317219341257,0.015050496340442195,0.021022535107553888,0.019453710075169574,0.009557849656936426,0.2368517518043518,0.069,-3.2191787098114513,50,False,False,0.0,,0.06159754389438745,0.06321846667847802
208,thumb_finger_meet,0.05938927544908241,0.022570550295652653,0.015019617795233392,0.020470326389421704,0.05938927544908241,0.006804990751141918,0.2361462116241455,0.069,-3.4902592611986405,50,False,False,0.0,,0.06848253831630595,0.06875643140349157
209,thumb_finger_meet,0.052449952140085236,0.022374284030563865,0.014958044411545515,0.052449952140085236,0.019285257725859473,0.0053704925826612085,0.23655913770198822,0.069,-3.1712618001830153,50,False,False,0.0,,0.06146169777268507,0.06225843327717608
210,initial_hold,0.053705308288172715,0.022565785829904983,0.015098011506490773,0.021088451453744595,0.019516928702237406,0.053705308288172715,0.23603971302509308,0.069,-3.2492014250138794,50,False,False,0.0,,0.02034173697685864,0.06668626598171547
