seed,goal_type,max_fingertip_error,finger_distance_ff,finger_distance_mf,finger_distance_rf,finger_distance_lf,finger_distance_th,action_mean_abs,action_saturation_fraction,episode_return,episode_length,success_any,success_final,success_fraction,time_to_first_success,min_goal_distance,final_goal_distance
201,thumb_finger_meet,0.0673992424541396,0.012289964860483355,0.0673992424541396,0.01646396938449018,0.016091966055714422,0.007858689288460884,0.8569549918174744,0.712,-3.614040670257733,50,False,False,0.0,,0.05962839155676497,0.07270126392593236
202,thumb_finger_meet,0.06011147479197106,0.06011147479197106,0.01668223032192892,0.03222375096892433,0.027926401249113626,0.014636422499227903,0.8568710088729858,0.718,-3.353396576702197,50,False,False,0.0,,0.04999699948240007,0.07696859805783986
203,thumb_finger_meet,0.09522646267235733,0.016243032978073724,0.09522646267235733,0.01792402642490641,0.03370422343423974,0.02084551153584949,0.8364116549491882,0.685,-4.6531445593007374,50,False,False,0.0,,0.07527003412571685,0.1059419466745528
204,initial_hold,0.059142275518906044,0.01584645098928517,0.005610630027443122,0.0303259662650982,0.015492984779181096,0.059142275518906044,0.8332604169845581,0.685,-3.6299289264823105,50,False,False,0.0,,0.04328169051163648,0.07028580752253379
205,thumb_finger_meet,0.0743169751214227,0.01464706744373241,0.011759134178655123,0.0743169751214227,0.02299367677896012,0.02287220063490058,0.8431387543678284,0.687,-3.9681140247649154,50,False,False,0.0,,0.06283605791455044,0.08323264591630773
206,thumb_finger_meet,0.05880718617173022,0.03520409843522845,0.014744967167570022,0.05880718617173022,0.03368639519107496,0.013172473823047197,0.8429598212242126,0.695,-4.185460618163189,50,False,False,0.0,,0.06579978955122126,0.07888799044490012
207,thumb_finger_meet,0.06306064355710407,0.06306064355710407,0.0045713513928280405,0.016654305020868215,0.013193700568601478,0.016111878679764498,0.8373813033103943,0.673,-3.489334422997217,50,False,False,0.0,,0.041806524150688903,0.06861905175974325
208,thumb_finger_meet,0.04831675276068278,0.026896627736174468,0.02453069333887354,0.027511676037084612,0.04831675276068278,0.01423864545880652,0.831219494342804,0.663,-3.7065034159097827,50,False,False,0.0,,0.0582029700186222,0.06796560482679631
209,thumb_finger_meet,0.04646185198966433,0.016301075212918726,0.008428572045568575,0.04646185198966433,0.017150352727233427,0.01185962737316479,0.841222882270813,0.683,-3.4270430180037015,50,False,False,0.0,,0.05345575899727979,0.05413182917870863
210,initial_hold,0.059142275518906044,0.01584645098928517,0.005610630027443122,0.0303259662650982,0.015492984779181096,0.059142275518906044,0.8332604169845581,0.685,-3.6299289264823105,50,False,False,0.0,,0.04328169051163648,0.07028580752253379
